Entity,Code,Year,"Meat of cattle with the bone, fresh or chilled | 00000867 || Producing or slaughtered animals | 005320 || animals","Meat, goat | 00001017 || Producing or slaughtered animals | 005320 || animals","Meat, chicken | 00001058 || Producing or slaughtered animals | 005321 || animals","Meat, turkey | 00001080 || Producing or slaughtered animals | 005321 || animals","Meat, pig | 00001035 || Producing or slaughtered animals | 005320 || animals","Meat, lamb and mutton | 00000977 || Producing or slaughtered animals | 005320 || animals","Meat, duck | 00001069 || Producing or slaughtered animals | 005321 || animals"
Afghanistan,AFG,1961,360000,940000,7000000,,,4336000,
Afghanistan,AFG,1962,384000,875000,7500000,,,4355000,
Afghanistan,AFG,1963,396000,810000,7700000,,,4673000,
Afghanistan,AFG,1964,402000,750000,8000000,,,5010000,
Afghanistan,AFG,1965,408000,875000,8500000,,,5179000,
Afghanistan,AFG,1966,569600,1130000,9000000,,,5366000,
Afghanistan,AFG,1967,544000,1562500,9500000,,,5700000,
Afghanistan,AFG,1968,595300,1562500,10000000,,,6500000,
Afghanistan,AFG,1969,628300,1562500,12000000,,,6120000,
Afghanistan,AFG,1970,653000,1400000,12000000,,,6300000,
Afghanistan,AFG,1971,653000,1562500,12000000,,,6200000,
Afghanistan,AFG,1972,643200,1000000,12000000,,,5360000,
Afghanistan,AFG,1973,563200,1350000,12500000,,,5660000,
Afghanistan,AFG,1974,520300,1350000,12500000,,,6140000,
Afghanistan,AFG,1975,511500,1500000,13000000,,,6270000,
Afghanistan,AFG,1976,523500,1500000,13000000,,,7800000,
Afghanistan,AFG,1977,541000,1020000,13500000,,,7750000,
Afghanistan,AFG,1978,557000,1020000,14000000,,,8000000,
Afghanistan,AFG,1979,590000,1080000,15000000,,,7750000,
Afghanistan,AFG,1980,560000,1380000,15000000,,,8000000,
Afghanistan,AFG,1981,560000,1500000,15500000,,,8300000,
Afghanistan,AFG,1982,560000,1560000,15500000,,,8380000,
Afghanistan,AFG,1983,550000,1497000,15700000,,,7813000,
Afghanistan,AFG,1984,545000,1437000,16000000,,,7187000,
Afghanistan,AFG,1985,540000,1000000,16200000,,,6560000,
Afghanistan,AFG,1986,535000,900000,16400000,,,5938000,
Afghanistan,AFG,1987,550000,1060000,16200000,,,6250000,
Afghanistan,AFG,1988,560000,1220000,16000000,,,6563000,
Afghanistan,AFG,1989,560000,1380000,15700000,,,6875000,
Afghanistan,AFG,1990,480000,1540000,15500000,,,7187000,
Afghanistan,AFG,1991,480000,1700000,15200000,,,7200000,
Afghanistan,AFG,1992,480000,1860000,15000000,,,6800000,
Afghanistan,AFG,1993,540000,2000000,14800000,,,6600000,
Afghanistan,AFG,1994,630000,2200000,14500000,,,6600000,
Afghanistan,AFG,1995,722000,2400000,15400000,,,6400000,
Afghanistan,AFG,1996,794000,2400000,16300000,,,7100000,
Afghanistan,AFG,1997,866000,2800000,17500000,,,7700000,
Afghanistan,AFG,1998,950000,3300000,18800000,,,8200000,
Afghanistan,AFG,1999,828000,3700000,17500000,,,9000000,
Afghanistan,AFG,2000,700000,3700000,16500000,,,7600000,
Afghanistan,AFG,2001,600000,2500000,16400000,,,7100000,
Afghanistan,AFG,2002,833000,3600000,30000000,,,4500000,
Afghanistan,AFG,2003,761000,3700000,35500000,,,4600000,
Afghanistan,AFG,2004,829000,3800000,38500000,,,5100000,
Afghanistan,AFG,2005,784000,3500000,40400000,,,5500000,
Afghanistan,AFG,2006,651700,3400000,30500000,,,4700000,
Afghanistan,AFG,2007,761100,2700000,22000000,,,4110000,
Afghanistan,AFG,2008,739000,3200000,26000000,,,5430000,
Afghanistan,AFG,2009,750000,2900000,25000000,,,6230000,
Afghanistan,AFG,2010,727800,3400000,35000000,,,7100000,
Afghanistan,AFG,2011,766700,3500000,32000000,,,7220000,
Afghanistan,AFG,2012,772000,3400000,31000000,,,6940000,
Afghanistan,AFG,2013,744500,3400000,33000000,,,6625000,
Afghanistan,AFG,2014,669717,3438257,31012000,,,6844995,
Afghanistan,AFG,2015,619065,3675215,30698000,,,6721936,
Afghanistan,AFG,2016,671906,3418681,30372000,,,6740686,
Afghanistan,AFG,2017,657632,3510821,34547000,,,7046922,
